Sexe;Age;Statut;Occupation;Qualification;Etudie;NombreFS;NombreE;Jardinage;Cuisine;Sport;MinutesTV;LectureBD;MinutesL;EcouteRP;JournalIntime;Taille
F;52;Divorce;Exerce profession;Cadre;Non;2;3;Oui;Non;Non;120;Non;0;Non;Non;Comme il faut
F;86;Veuf;Retraite;Employe de bureau;Non;5;5;Non;Non;Non;180;Non;8,57;Non;Non;Pas assez
F;40;Divorce;Exerce profession;Non concerne;Non;2;1;Non;Oui;Oui;25,71;Non;0;Non;Oui;Pas assez
H;66;Divorce;Exerce profession;Non concerne;Non;2;2;Non;Oui;Non;10;Non;160;Non;Oui;Comme il faut
F;54;Divorce;Exerce profession;Employe de bureau;Non;3;2;Oui;Non;Non;0;Non;0;Oui;Oui;Comme il faut
H;85;Veuf;Retraite;Cadre;Non;1;3;Non;Non;Non;60;Non;25,71;Non;Oui;Comme il faut
H;63;Marie;Retraite;Cadre;Non;1;1;Non;Non;Oui;60;Non;0;Non;Non;Comme il faut
H;54;Marie;Exerce profession;Ouvrier specialise;Non;0;5;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
F;40;Celibataire;Exerce profession;Cadre;Non;3;0;Non;Non;Oui;51,43;Non;0;Non;Non;Pas assez
F;36;Marie;Exerce profession;Cadre;Non;1;1;Non;Oui;Oui;120;Non;51,43;Non;Non;Comme il faut
H;32;Marie;Exerce profession;Autre;Non;2;1;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
H;69;Marie;Retraite;Cadre;Non;5;5;Oui;Non;Oui;25,71;Oui;120;Non;Non;Comme il faut
H;52;Marie;Chomeur;Ouvrier specialise;Non;7;4;Non;Non;Non;300;Non;120;Non;Non;Comme il faut
F;53;Celibataire;Exerce profession;Non concerne;Non;2;0;Non;Non;Non;120;Non;0;Non;Oui;Pas assez
F;49;Celibataire;Exerce profession;Employe de bureau;Non;2;0;Non;Non;Oui;51,43;Non;0;Non;Oui;Pas assez
H;48;Divorce;Chomeur;Ouvrier specialise;Non;14;6;Non;Oui;Oui;60;Non;0;Non;Oui;Pas assez
F;49;Marie;Autre inactif;Employe de bureau;Non;2;2;Non;Non;Non;180;Non;0;Non;Non;Comme il faut
H;31;Celibataire;Exerce profession;Cadre;Non;1;0;Non;Oui;Oui;60;Non;0;Non;Non;Comme il faut
F;26;Divorce;Exerce profession;Ouvrier specialise;Non;3;1;Non;Non;Non;180;Non;0;Non;Non;Comme il faut
F;44;Marie;Exerce profession;Cadre;Non;6;3;Non;Oui;Oui;34,29;Non;42,86;Non;Non;Comme il faut
F;25;Celibataire;Exerce profession;Cadre;Non;1;0;Oui;Oui;Oui;42,86;Non;0;Oui;Oui;Comme il faut
H;61;Divorce;Retraite;Cadre;Non;7;2;Non;Non;Oui;180;Non;120;Non;Oui;Comme il faut
F;56;Divorce;Exerce profession;Non concerne;Non;2;1;Oui;Oui;Non;0;Non;0;Non;Non;Comme il faut
F;42;Celibataire;Exerce profession;Employe de bureau;Non;4;0;Non;Non;Non;0;Non;0;Non;Oui;Pas assez
F;43;Divorce;Exerce profession;Employe de bureau;Non;4;2;Non;Non;Non;120;Non;0;Non;Non;Pas assez
F;58;Marie;Autre inactif;Employe de bureau;Non;10;0;Oui;Oui;Non;120;Non;0;Non;Non;Pas assez
H;42;Celibataire;Exerce profession;Cadre;Non;2;0;Oui;Oui;Non;17,14;Non;0;Non;Oui;Comme il faut
H;45;Celibataire;Exerce profession;Employe de bureau;Non;2;0;Non;Oui;Non;25,71;Non;0;Non;Oui;Pas assez
H;67;Veuf;Retraite;Cadre;Non;0;3;Non;Non;Non;85,71;Non;0;Non;Non;Comme il faut
F;27;Celibataire;Exerce profession;Cadre;Non;3;0;Non;Non;Oui;60;Non;0;Non;Non;Comme il faut
H;26;Celibataire;Exerce profession;Cadre;Non;2;0;Non;Non;Oui;120;Non;0;Non;Non;Comme il faut
F;23;Celibataire;Etudiant;Non concerne;formation initiale;2;0;Non;Oui;Non;0;Oui;60;Non;Oui;Pas assez
H;22;Celibataire;Etudiant;Non concerne;formation initiale;8;0;Non;Non;Oui;0;Non;0;Non;Non;Comme il faut
F;29;Celibataire;Chomeur;Technicien;Non;0;0;Non;Oui;Oui;120;Non;0;Non;Oui;Pas assez
H;42;Celibataire;Exerce profession;Cadre;Non;1;2;Non;Non;Oui;34,29;Non;0;Non;Non;Comme il faut
H;72;Celibataire;Retraite;Technicien;Non;4;0;Non;Non;Non;300;Non;0;Non;Non;Pas assez
H;58;Celibataire;Exerce profession;Technicien;Non;7;1;Non;Non;Non;0;Non;0;Non;Non;Pas assez
F;40;Celibataire;Chomeur;Cadre;Non;5;0;Oui;Oui;Oui;0;Oui;60;Non;Non;Comme il faut
F;56;Divorce;Exerce profession;Technicien;Non;2;1;Oui;Non;Non;180;Non;60;Non;Non;Comme il faut
F;51;Celibataire;Exerce profession;Employe de bureau;Non;0;1;Oui;Non;Non;0;Non;68,57;Non;Oui;Comme il faut
F;69;Divorce;Retraite;Employe de bureau;Non;6;3;Non;Non;Non;240;Non;0;Non;Non;Pas assez
F;48;Marie;Chomeur;Employe de bureau;Non;2;0;Non;Non;Non;720;Non;0;Non;Non;Pas assez
H;70;Marie;Retraite;Cadre;Non;7;1;Oui;Non;Non;60;Non;120;Non;Oui;Comme il faut
H;43;Celibataire;Chomeur;Profession intermediaire;Non;2;0;Oui;Oui;Oui;60;Non;0;Non;Oui;Comme il faut
H;64;Marie;Retraite;Cadre;Non;11;4;Non;Non;Non;180;Non;120;Non;Non;Pas assez
H;66;Marie;Exerce profession;Non concerne;Non;0;1;Non;Non;Oui;25,71;Non;300;Non;Non;Pas assez
H;33;Celibataire;Exerce profession;Cadre;Non;3;1;Oui;Oui;Oui;60;Non;0;Non;Oui;Comme il faut
F;23;Celibataire;Etudiant;Non concerne;formation initiale;1;0;Non;Non;Oui;0;Non;0;Non;Oui;Comme il faut
F;70;Divorce;Retraite;Employe de bureau;Non;0;2;Non;Oui;Non;60;Non;0;Non;Non;Comme il faut
F;22;Celibataire;Etudiant;Non concerne;formation initiale;6;0;Non;Non;Non;17,14;Non;0;Non;Oui;Pas assez
H;32;Marie;Exerce profession;Cadre;Non;2;2;Non;Oui;Oui;68,57;Non;0;Non;Non;Comme il faut
H;38;Marie;Exerce profession;Cadre;Non;1;2;Non;Non;Non;60;Non;0;Non;Non;Pas assez
H;25;Celibataire;Chomeur;Non concerne;Non;6;0;Non;Non;Oui;17,14;Non;0;Non;Non;Pas assez
H;39;Celibataire;Exerce profession;Profession intermediaire;Non;0;0;Non;Non;Non;51,43;Oui;60;Non;Oui;Comme il faut
F;27;Marie;Exerce profession;Employe de bureau;Non;4;1;Non;Oui;Non;120;Non;0;Non;Oui;Pas assez
F;22;Celibataire;Exerce profession;Employe de bureau;Non;2;0;Non;Oui;Oui;120;Non;0;Non;Non;Comme il faut
F;37;Celibataire;Exerce profession;Non concerne;Non;1;1;Oui;Non;Oui;17,14;Non;0;Non;Non;Comme il faut
F;66;Celibataire;Retraite;Employe de bureau;Non;2;1;Non;Non;Non;120;Non;0;Non;Non;Pas assez
F;80;Veuf;Retraite;Cadre;Non;1;2;Non;Non;Non;240;Non;0;Non;Non;Comme il faut
H;81;Marie;Retraite;Ouvrier qualifie;Non;4;4;Non;Non;Non;180;Non;0;Non;Oui;Comme il faut
H;33;Celibataire;Exerce profession;Cadre;Non;1;0;Non;Oui;Oui;0;Non;0;Non;Non;Comme il faut
H;53;Marie;Exerce profession;Cadre;Non;1;2;Non;Non;Oui;8;Non;120;Non;Non;Pas assez
F;73;Marie;Retraite;Cadre;Non;0;0;Non;Oui;Non;120;Non;0;Non;Non;Comme il faut
H;48;Marie;Exerce profession;Cadre;Non;1;3;Non;Non;Non;34,29;Non;0;Non;Non;Pas assez
H;44;Marie;Exerce profession;Employe de bureau;Non;5;0;Non;Non;Non;120;Non;0;Non;Non;Pas assez
H;34;Marie;Exerce profession;Non concerne;Non;1;1;Non;Non;Oui;60;Non;0;Non;Oui;Pas assez
F;61;Celibataire;Retraite;Non concerne;Non;3;6;Non;Non;Non;240;Non;0;Non;Non;Comme il faut
H;38;Celibataire;Exerce profession;Employe de bureau;Non;2;0;Non;Oui;Oui;120;Non;0;Non;Non;Pas assez
F;60;Marie;Exerce profession;Cadre;Non;3;2;Oui;Oui;Oui;34,29;Non;0;Non;Oui;Comme il faut
H;64;Marie;Retraite;Cadre;Non;1;2;Oui;Non;Oui;120;Non;0;Non;Non;Comme il faut
F;54;Marie;Exerce profession;Profession intermediaire;Non;4;2;Non;Oui;Non;42,86;Non;0;Non;Non;Pas assez
F;22;Celibataire;Etudiant;Non concerne;formation initiale;2;0;Oui;Oui;Non;34,29;Oui;60;Non;Non;Comme il faut
H;54;Marie;Exerce profession;Cadre;Non;3;3;Non;Non;Oui;25,71;Non;0;Non;Non;Pas assez
F;35;Marie;Autre inactif;Employe de bureau;Non;13;2;Non;Oui;Oui;60;Non;0;Non;Oui;Comme il faut
H;31;Celibataire;Exerce profession;Employe de bureau;Non;1;0;Non;Non;Oui;60;Non;0;Non;Non;Comme il faut
F;28;Celibataire;Exerce profession;Cadre;Non;2;0;Non;Non;Oui;17,14;Non;0;Non;Non;Comme il faut
F;82;Marie;Retraite;Cadre;Non;1;2;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
H;39;Marie;Exerce profession;Non concerne;Non;2;1;Non;Non;Non;60;Non;180;Non;Non;Comme il faut
H;91;Marie;Au foyer;Non concerne;Non;3;3;Oui;Non;Non;0;Non;0;Non;Non;Comme il faut
H;74;Celibataire;Retraite;Cadre;Non;1;0;Non;Non;Non;300;Non;0;Non;Non;Comme il faut
F;54;Marie;Chomeur;Cadre;Non;1;3;Non;Non;Oui;8,57;Non;120;Non;Non;Pas assez
F;18;Celibataire;Etudiant;Non concerne;formation initiale;6;0;Non;Oui;Non;120;Non;0;Non;Oui;Comme il faut
H;34;Celibataire;Exerce profession;Cadre;Non;1;0;Non;Non;Oui;0;Non;25,71;Non;Non;Comme il faut
F;50;Marie;Exerce profession;Cadre;Non;2;2;Oui;Oui;Non;60;Non;60;Non;Oui;Pas assez
F;37;Marie;Autre inactif;Employe de bureau;Non;2;3;Non;Non;Non;60;Non;0;Non;Non;Pas assez
F;74;Divorce;Autre inactif;Non concerne;Non;5;2;Non;Non;Oui;120;Non;180;Non;Non;Pas assez
H;32;Celibataire;Exerce profession;Cadre;Non;2;0;Non;Non;Non;0;Non;0;Non;Oui;Comme il faut
F;72;Marie;Au foyer;Non concerne;Non;1;3;Oui;Oui;Non;0;Non;0;Non;Oui;Comme il faut
H;20;Celibataire;Etudiant;Non concerne;formation initiale;3;0;Non;Non;Oui;180;Non;0;Non;Oui;Comme il faut
H;29;Celibataire;Chomeur;Employe de bureau;Non;1;0;Non;Non;Non;4;Non;0;Oui;Non;Comme il faut
F;21;Celibataire;Etudiant;Non concerne;formation initiale;2;0;Non;Non;Oui;0;Non;60;Non;Oui;Comme il faut
F;50;Marie;Autre inactif;Employe de bureau;Non;5;4;Oui;Non;Oui;0;Non;0;Non;Oui;Pas assez
H;61;Celibataire;Retraite;Technicien;Non;1;0;Non;Non;Non;180;Non;0;Non;Non;Comme il faut
H;67;Marie;Retraite;Cadre;Non;0;4;Non;Non;Non;0;Non;0;Non;Oui;Comme il faut
H;21;Celibataire;Exerce profession;Employe de bureau;Non;3;0;Non;Oui;Oui;180;Non;0;Non;Oui;Comme il faut
F;82;Veuf;Retraite;Cadre;Non;1;3;Non;Non;Non;240;Non;0;Non;Oui;Pas assez
H;23;Celibataire;Etudiant;Non concerne;formation initiale;1;0;Non;Non;Oui;60;Non;0;Non;Non;Comme il faut
F;63;Marie;Retraite;Profession intermediaire;Non;7;3;Non;Oui;Oui;42,86;Non;0;Non;Oui;Pas assez
H;25;Celibataire;Exerce profession;Ouvrier qualifie;Non;12;0;Non;Non;Oui;120;Non;0;Non;Oui;Comme il faut
F;24;Celibataire;Etudiant;Non concerne;formation initiale;1;0;Non;Non;Oui;25,71;Non;0;Non;Oui;Comme il faut
F;21;Celibataire;Etudiant;Non concerne;formation initiale;3;0;Non;Non;Oui;34,29;Non;0;Non;Oui;Comme il faut
F;36;Marie;Autre inactif;Cadre;Non;2;3;Non;Non;Oui;120;Non;60;Non;Oui;Pas assez
H;67;Marie;Retraite;Cadre;Non;3;1;Non;Non;Non;0;Non;180;Non;Non;Comme il faut
F;36;Marie;Exerce profession;Cadre;Non;1;2;Non;Non;Non;120;Non;25,71;Non;Oui;Comme il faut
F;65;Marie;Retraite;Cadre;Non;1;0;Non;Non;Oui;240;Non;0;Non;Oui;Pas assez
F;73;Marie;Retraite;Employe de bureau;Non;1;4;Non;Non;Non;180;Non;60;Non;Oui;Pas assez
F;57;Celibataire;Exerce profession;Non concerne;Non;3;0;Non;Non;Oui;120;Non;0;Non;Oui;Comme il faut
F;59;Marie;Exerce profession;Employe de bureau;Non;6;3;Oui;Oui;Non;120;Non;0;Non;Non;Pas assez
H;52;Marie;Exerce profession;Non concerne;Non;1;4;Oui;Non;Non;0;Non;85,71;Non;Non;Comme il faut
H;37;Celibataire;Chomeur;Ouvrier specialise;Non;0;0;Non;Non;Non;180;Non;0;Non;Non;Comme il faut
F;35;Celibataire;Exerce profession;Cadre;Non;3;0;Non;Oui;Non;102,86;Non;0;Oui;Oui;Pas assez
F;29;Celibataire;Exerce profession;Autre;formation initiale;1;0;Non;Oui;Oui;120;Non;0;Oui;Oui;Comme il faut
H;37;Marie;Exerce profession;Cadre;Non;1;3;Non;Oui;Oui;0;Oui;77,14;Non;Oui;Pas assez
F;56;Marie;Exerce profession;Cadre;Non;4;2;Non;Oui;Oui;120;Non;0;Oui;Oui;Pas assez
F;46;Veuf;Exerce profession;Profession intermediaire;Non;2;3;Non;Non;Oui;85,71;Non;60;Non;Oui;Pas assez
F;52;Marie;Exerce profession;Ouvrier qualifie;Non;6;3;Non;Non;Non;180;Non;0;Non;Non;Pas assez
H;25;Celibataire;Exerce profession;Cadre;Non;1;0;Non;Oui;Oui;60;Non;0;Non;Non;Comme il faut
F;39;Celibataire;Exerce profession;Employe de bureau;Non;1;1;Oui;Non;Non;180;Oui;60;Non;Non;Comme il faut
H;54;Celibataire;Exerce profession;Cadre;Non;3;0;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
H;65;Marie;Retraite;Cadre;Non;1;1;Non;Non;Oui;0;Non;120;Non;Non;Comme il faut
F;45;Marie;Exerce profession;Non concerne;Non;2;3;Oui;Oui;Oui;120;Non;0;Non;Non;Comme il faut
F;43;Marie;Exerce profession;Employe de bureau;Non;10;1;Non;Oui;Oui;42,86;Non;0;Non;Non;Comme il faut
F;47;Divorce;Chomeur;Employe de bureau;Non;1;0;Non;Non;Non;0;Non;25,71;Non;Non;Comme il faut
F;32;Marie;Autre inactif;Cadre;Non;6;3;Non;Non;Oui;60;Oui;17,14;Non;Non;Pas assez
H;50;Celibataire;Exerce profession;Cadre;Non;5;0;Non;Non;Oui;60;Non;60;Non;Non;Comme il faut
F;26;Celibataire;Etudiant;Non concerne;formation initiale;9;0;Non;Oui;Non;60;Non;0;Non;Oui;Comme il faut
F;34;Celibataire;Exerce profession;Cadre;Non;4;2;Oui;Oui;Oui;0;Non;60;Non;Non;Comme il faut
H;24;Marie;Exerce profession;Employe de bureau;Non;3;1;Oui;Oui;Oui;60;Non;0;Non;Non;Comme il faut
F;82;Divorce;Retraite;Employe de bureau;Non;6;1;Non;Non;Non;60;Non;0;Non;Non;Comme il faut
F;29;Celibataire;Chomeur;Profession intermediaire;Non;10;0;Non;Non;Non;240;Non;0;Non;Oui;Comme il faut
F;28;Celibataire;Exerce profession;Autre;Non;4;0;Non;Non;Oui;60;Non;0;Non;Oui;Comme il faut
F;42;Celibataire;Etudiant;Employe de bureau;Non;9;1;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
F;40;Marie;Exerce profession;Cadre;Non;5;2;Non;Oui;Non;60;Non;60;Non;Non;Comme il faut
F;52;Celibataire;Autre inactif;Employe de bureau;Non;13;2;Oui;Non;Oui;0;Non;0;Non;Non;Pas assez
H;19;Celibataire;Etudiant;Non concerne;formation initiale;1;0;Non;Oui;Oui;60;Non;0;Non;Oui;Comme il faut
H;53;Marie;Exerce profession;Ouvrier qualifie;Non;4;4;Non;Non;Non;51,43;Non;0;Non;Non;Pas assez
H;49;Divorce;Chomeur;Cadre;Non;1;0;Non;Non;Non;180;Non;0;Non;Oui;Pas assez
F;48;Marie;Exerce profession;Cadre;Non;5;2;Oui;Oui;Oui;180;Oui;34,29;Non;Non;Comme il faut
F;67;Marie;Retraite;Cadre;Non;0;0;Non;Non;Non;300;Non;0;Non;Non;Comme il faut
H;61;Divorce;Exerce profession;Employe de bureau;Non;3;4;Non;Oui;Non;60;Non;0;Non;Non;Comme il faut
H;77;Marie;Retraite;Technicien;Non;0;1;Non;Oui;Oui;0;Non;0;Non;Oui;Comme il faut
H;30;Celibataire;Exerce profession;Employe de bureau;Non;3;0;Non;Non;Oui;42,86;Non;0;Non;Non;Pas assez
H;32;Celibataire;Chomeur;Cadre;Non;4;0;Non;Non;Non;60;Oui;180;Non;Oui;Pas assez
H;20;Celibataire;Etudiant;Ouvrier qualifie;formation initiale;1;0;Non;Non;Oui;60;Non;0;Non;Oui;Comme il faut
F;24;Celibataire;Etudiant;Non concerne;formation initiale;4;0;Non;Oui;Oui;240;Non;420;Non;Oui;Pas assez
H;34;Celibataire;Exerce profession;Employe de bureau;Non;5;0;Non;Oui;Oui;120;Non;0;Non;Non;Comme il faut
F;31;Celibataire;Exerce profession;Profession intermediaire;Non;0;1;Non;Oui;Non;8,57;Non;0;Oui;Oui;Comme il faut
F;35;Divorce;Autre inactif;Employe de bureau;Non;2;7;Non;Oui;Oui;180;Non;0;Non;Oui;Pas assez
H;38;Marie;Exerce profession;Ouvrier qualifie;Non;5;4;Non;Oui;Non;85,71;Non;0;Non;Non;Pas assez
F;47;Marie;Exerce profession;Employe de bureau;Non;9;4;Non;Oui;Non;60;Non;34,29;Non;Non;Pas assez
H;27;Celibataire;Exerce profession;Cadre;Non;1;0;Non;Non;Oui;120;Non;0;Non;Non;Comme il faut
H;44;Marie;Exerce profession;Profession intermediaire;Non;3;2;Non;Non;Non;0;Non;0;Oui;Non;Comme il faut
H;39;Celibataire;Exerce profession;Cadre;Non;2;0;Non;Oui;Non;0;Non;0;Non;Non;Refus
F;39;Celibataire;Exerce profession;Profession intermediaire;Non;1;0;Non;Non;Non;180;Non;120;Non;Oui;Comme il faut
F;24;Celibataire;Exerce profession;Profession intermediaire;Non;2;0;Non;Non;Oui;0;Non;0;Non;Oui;Comme il faut
F;74;Marie;Retraite;Ouvrier specialise;Non;5;0;Non;Non;Non;300;Non;180;Non;Non;Comme il faut
H;46;Marie;Exerce profession;Employe de bureau;Non;4;2;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
H;42;Celibataire;Exerce profession;Profession intermediaire;Non;2;0;Non;Non;Non;0;Non;0;Oui;Non;Comme il faut
F;31;Celibataire;Exerce profession;Profession intermediaire;Non;2;0;Non;Non;Non;0;Oui;85,71;Non;Oui;Comme il faut
F;28;Marie;Exerce profession;Technicien;Non;0;0;Non;Non;Oui;0;Non;0;Non;Oui;Comme il faut
F;86;Veuf;Retraite;Employe de bureau;Non;8;5;Non;Non;Non;300;Non;180;Non;Non;Comme il faut
F;36;Celibataire;Exerce profession;Employe de bureau;Non;5;3;Non;Non;Oui;0;Non;0;Non;Non;Pas assez
H;29;Marie;Exerce profession;Cadre;Non;2;0;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
F;64;Marie;Exerce profession;Employe de bureau;Non;6;0;Non;Non;Non;240;Non;0;Non;Non;Comme il faut
F;69;Veuf;Retraite;Employe de bureau;Non;4;4;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
F;52;Marie;Autre inactif;Employe de bureau;Non;2;4;Non;Non;Non;180;Non;0;Non;Non;Comme il faut
F;31;Marie;Exerce profession;Employe de bureau;Non;8;2;Non;Non;Non;180;Non;0;Non;Non;Pas assez
F;50;Divorce;Exerce profession;Profession intermediaire;Non;2;1;Non;Oui;Oui;120;Non;60;Non;Oui;Pas assez
H;37;Marie;Exerce profession;Cadre;Non;3;2;Non;Oui;Oui;120;Non;0;Non;Non;Pas assez
H;65;Marie;Exerce profession;Non concerne;Non;2;2;Non;Non;Non;60;Oui;120;Non;Non;Comme il faut
H;59;Marie;Exerce profession;Employe de bureau;Non;8;2;Oui;Non;Non;240;Non;0;Non;Non;Comme il faut
H;18;Celibataire;Etudiant;Non concerne;formation initiale;4;0;Non;Oui;Oui;17,14;Non;0;Non;Non;Comme il faut
F;33;Celibataire;Exerce profession;Non concerne;Non;1;0;Non;Non;Oui;60;Non;0;Non;Oui;Comme il faut
F;90;Celibataire;Retraite;Employe de bureau;Non;4;0;Non;Non;Non;300;Non;0;Non;Oui;Pas assez
H;57;Marie;Exerce profession;Cadre;Non;7;2;Oui;Oui;Non;180;Non;120;Non;Non;Comme il faut
H;58;Marie;Exerce profession;Cadre;Non;0;2;Oui;Non;Oui;17,14;Non;0;Non;Non;Comme il faut
H;38;Marie;Exerce profession;Cadre;Non;1;2;Oui;Oui;Oui;25,71;Non;0;Non;Non;Comme il faut
H;47;Marie;Exerce profession;Non concerne;Non;8;3;Oui;Non;Non;60;Non;34,29;Non;Non;Comme il faut
H;36;Marie;Exerce profession;Cadre;Non;2;2;Oui;Non;Oui;25,71;Non;0;Non;Non;Comme il faut
F;71;Marie;Exerce profession;Non concerne;Non;1;2;Oui;Non;Non;8,57;Non;0;Non;Non;Comme il faut
H;40;Marie;Exerce profession;Cadre;Non;2;3;Oui;Oui;Oui;60;Non;0;Non;Oui;Comme il faut
H;29;Marie;Exerce profession;Ouvrier specialise;Non;2;0;Non;Oui;Oui;180;Non;0;Non;Non;Comme il faut
F;28;Marie;Autre inactif;Employe de bureau;Non;1;2;Non;Non;Non;240;Non;0;Oui;Oui;Pas assez
H;31;Marie;Exerce profession;Cadre;Non;2;1;Non;Non;Oui;60;Non;0;Non;Non;Comme il faut
H;28;Celibataire;Chomeur;Employe de bureau;Non;0;0;Non;Oui;Oui;128,57;Non;0;Oui;Non;Pas assez
F;59;Marie;Autre inactif;Employe de bureau;Non;0;2;Oui;Non;Oui;180;Non;0;Non;Non;Comme il faut
H;20;Celibataire;Etudiant;Non concerne;formation initiale;1;0;Non;Oui;Oui;12;Non;0;Non;Non;Comme il faut
F;51;Marie;Exerce profession;Employe de bureau;Non;1;2;Non;Oui;Non;120;Non;0;Non;Oui;Comme il faut
F;53;Marie;Exerce profession;Profession intermediaire;Non;2;3;Non;Non;Oui;60;Non;42,86;Non;Oui;Pas assez
H;68;Marie;Retraite;Employe de bureau;Non;1;4;Non;Non;Oui;120;Non;0;Non;Non;Comme il faut
H;48;Marie;Exerce profession;Ouvrier qualifie;Non;0;3;Oui;Non;Non;180;Non;0;Non;Non;Comme il faut
